City,Property Type,Period Begin,Period End,Median Sale Price (in 000's of dollars)
Redmond,All Residential,4/1/17,4/30/17,735
Mercer Island,Condo/Co-op,11/1/17,11/30/17,389
Tacoma,Condo/Co-op,4/1/16,4/30/16,228
Bothell,All Residential,1/1/10,1/31/10,295
Tacoma,All Residential,1/1/10,1/31/10,179
Snoqualmie,All Residential,2/1/10,2/28/10,430
Redmond,All Residential,3/1/10,3/31/10,412
Tacoma,All Residential,3/1/10,3/31/10,184
Bellevue,All Residential,7/1/10,7/31/10,530
Mercer Island,All Residential,9/1/10,9/30/10,648
Kent,All Residential,12/1/10,12/31/10,230
Kirkland,All Residential,2/1/11,2/28/11,363
Bothell,All Residential,3/1/11,3/31/11,304
Bellevue,All Residential,5/1/11,5/31/11,465
Tacoma,All Residential,5/1/11,5/31/11,150
Mercer Island,All Residential,7/1/11,7/31/11,782
Snoqualmie,All Residential,9/1/11,9/30/11,405
Issaquah,All Residential,9/1/11,9/30/11,407
Seattle,All Residential,10/1/11,10/31/11,336
Olympia,All Residential,11/1/11,11/30/11,223
Redmond,All Residential,11/1/11,11/30/11,458
Seattle,All Residential,12/1/11,12/31/11,322
Snoqualmie,All Residential,2/1/12,2/29/12,377
Sammamish,All Residential,6/1/12,6/30/12,514
Snoqualmie,All Residential,6/1/12,6/30/12,448
Seattle,All Residential,7/1/12,7/31/12,373
Kenmore,All Residential,10/1/12,10/31/12,410
Mercer Island,All Residential,11/1/12,11/30/12,670
Kirkland,All Residential,3/1/13,3/31/13,435
Tacoma,All Residential,5/1/13,5/31/13,170
Seattle,All Residential,9/1/13,9/30/13,415
Tacoma,All Residential,10/1/13,10/31/13,172
Seattle,All Residential,11/1/13,11/30/13,404
Mercer Island,All Residential,11/1/13,11/30/13,820
Seattle,All Residential,12/1/13,12/31/13,406
Bothell,All Residential,12/1/13,12/31/13,396
Snoqualmie,All Residential,12/1/13,12/31/13,484
Bellevue,All Residential,2/1/14,2/28/14,482
Kirkland,All Residential,4/1/14,4/30/14,463
Kent,All Residential,4/1/14,4/30/14,245
Redmond,All Residential,5/1/14,5/31/14,556
Olympia,All Residential,7/1/14,7/31/14,248
Sammamish,All Residential,8/1/14,8/31/14,648
Sammamish,All Residential,9/1/14,9/30/14,615
Kenmore,All Residential,9/1/14,9/30/14,400
Issaquah,All Residential,12/1/14,12/31/14,480
Mercer Island,All Residential,12/1/14,12/31/14,"1,025"
Kenmore,All Residential,1/1/15,1/31/15,435
Tacoma,All Residential,1/1/15,1/31/15,176
Olympia,All Residential,3/1/15,3/31/15,233
Olympia,All Residential,4/1/15,4/30/15,244
Kenmore,All Residential,5/1/15,5/31/15,480
Olympia,All Residential,6/1/15,6/30/15,266
Kenmore,All Residential,8/1/15,8/31/15,480
Bothell,All Residential,11/1/15,11/30/15,472
Issaquah,All Residential,12/1/15,12/31/15,590
Sammamish,All Residential,12/1/15,12/31/15,708
Bothell,All Residential,1/1/16,1/31/16,475
Olympia,All Residential,2/1/16,2/29/16,250
Tacoma,All Residential,2/1/16,2/29/16,219
Snoqualmie,All Residential,3/1/16,3/31/16,503
Tacoma,All Residential,3/1/16,3/31/16,225
Bothell,All Residential,5/1/16,5/31/16,498
